"","...1","yrs.service","sex"
"1","1",18,"Male"
"2","2",16,"Male"
"3","3",3,"Male"
"4","4",39,"Male"
"5","5",41,"Male"
"6","6",6,"Male"
"7","7",23,"Male"
"8","8",45,"Male"
"9","9",20,"Male"
"10","10",18,"Female"
"11","11",8,"Male"
"12","12",2,"Male"
"13","13",1,"Male"
"14","14",0,"Male"
"15","15",18,"Male"
"16","16",3,"Male"
"17","17",20,"Male"
"18","18",34,"Male"
"19","19",23,"Male"
"20","20",36,"Female"
"21","21",26,"Male"
"22","22",31,"Male"
"23","23",30,"Male"
"24","24",19,"Male"
"25","25",8,"Female"
"26","26",8,"Male"
"27","27",23,"Male"
"28","28",3,"Male"
"29","29",0,"Male"
"30","30",8,"Male"
"31","31",4,"Male"
"32","32",2,"Male"
"33","33",9,"Male"
"34","34",2,"Male"
"35","35",2,"Female"
"36","36",0,"Female"
"37","37",21,"Male"
"38","38",4,"Male"
"39","39",31,"Male"
"40","40",9,"Male"
"41","41",2,"Male"
"42","42",23,"Male"
"43","43",27,"Male"
"44","44",38,"Male"
"45","45",19,"Male"
"46","46",15,"Male"
"47","47",28,"Male"
"48","48",19,"Female"
"49","49",25,"Female"
"50","50",1,"Male"
"51","51",28,"Male"
"52","52",11,"Male"
"53","53",3,"Female"
"54","54",9,"Male"
"55","55",11,"Male"
"56","56",5,"Male"
"57","57",21,"Male"
"58","58",8,"Male"
"59","59",9,"Male"
"60","60",3,"Male"
"61","61",8,"Male"
"62","62",2,"Male"
"63","63",31,"Male"
"64","64",11,"Female"
"65","65",3,"Male"
"66","66",8,"Male"
"67","67",12,"Male"
"68","68",31,"Male"
"69","69",17,"Female"
"70","70",36,"Male"
"71","71",2,"Male"
"72","72",45,"Male"
"73","73",19,"Male"
"74","74",34,"Male"
"75","75",23,"Male"
"76","76",3,"Male"
"77","77",3,"Male"
"78","78",19,"Male"
"79","79",1,"Male"
"80","80",2,"Male"
"81","81",28,"Male"
"82","82",16,"Male"
"83","83",20,"Male"
"84","84",2,"Male"
"85","85",18,"Female"
"86","86",14,"Male"
"87","87",37,"Male"
"88","88",2,"Male"
"89","89",25,"Male"
"90","90",7,"Male"
"91","91",5,"Female"
"92","92",7,"Male"
"93","93",7,"Male"
"94","94",38,"Male"
"95","95",20,"Male"
"96","96",0,"Male"
"97","97",12,"Male"
"98","98",7,"Male"
"99","99",14,"Male"
"100","100",26,"Male"
"101","101",25,"Male"
"102","102",23,"Male"
"103","103",5,"Male"
"104","104",14,"Female"
"105","105",10,"Male"
"106","106",28,"Male"
"107","107",8,"Male"
"108","108",8,"Male"
"109","109",8,"Male"
"110","110",31,"Male"
"111","111",16,"Male"
"112","112",16,"Male"
"113","113",1,"Male"
"114","114",37,"Male"
"115","115",0,"Female"
"116","116",9,"Male"
"117","117",29,"Male"
"118","118",36,"Male"
"119","119",1,"Male"
"120","120",3,"Female"
"121","121",14,"Male"
"122","122",32,"Male"
"123","123",22,"Male"
"124","124",22,"Female"
"125","125",22,"Male"
"126","126",49,"Male"
"127","127",26,"Male"
"128","128",0,"Female"
"129","129",30,"Male"
"130","130",2,"Male"
"131","131",9,"Male"
"132","132",57,"Male"
"133","133",8,"Female"
"134","134",1,"Female"
"135","135",25,"Male"
"136","136",18,"Male"
"137","137",14,"Male"
"138","138",14,"Male"
"139","139",7,"Male"
"140","140",18,"Male"
"141","141",8,"Male"
"142","142",10,"Male"
"143","143",11,"Male"
"144","144",3,"Male"
"145","145",27,"Male"
"146","146",28,"Male"
"147","147",4,"Male"
"148","148",27,"Male"
"149","149",26,"Female"
"150","150",3,"Male"
"151","151",12,"Male"
"152","152",4,"Male"
"153","153",9,"Male"
"154","154",10,"Female"
"155","155",0,"Male"
"156","156",21,"Male"
"157","157",18,"Male"
"158","158",0,"Male"
"159","159",6,"Male"
"160","160",16,"Male"
"161","161",2,"Male"
"162","162",19,"Male"
"163","163",7,"Male"
"164","164",3,"Male"
"165","165",0,"Male"
"166","166",8,"Male"
"167","167",16,"Male"
"168","168",19,"Male"
"169","169",6,"Male"
"170","170",18,"Male"
"171","171",5,"Male"
"172","172",19,"Male"
"173","173",24,"Male"
"174","174",20,"Male"
"175","175",6,"Male"
"176","176",25,"Male"
"177","177",7,"Male"
"178","178",9,"Male"
"179","179",14,"Male"
"180","180",3,"Female"
"181","181",11,"Male"
"182","182",5,"Male"
"183","183",8,"Male"
"184","184",22,"Male"
"185","185",23,"Male"
"186","186",30,"Male"
"187","187",10,"Female"
"188","188",10,"Male"
"189","189",28,"Male"
"190","190",19,"Male"
"191","191",9,"Male"
"192","192",22,"Male"
"193","193",18,"Male"
"194","194",19,"Male"
"195","195",53,"Male"
"196","196",7,"Male"
"197","197",4,"Male"
"198","198",4,"Male"
"199","199",33,"Male"
"200","200",22,"Male"
"201","201",4,"Male"
